"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",0,0.5,0.75,0.75,0.75,0.25,0.75,0.5,0.5,1,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,1,0.25,0.5,0.75,1,0.75,1,0.75,1,1,0.75,0.75,0.5,0.25,0.75,0.75,0.75,0.75,1,1,0.5,0.75,0.75,0.75
"2",0.5,0,0.5,0.75,0.75,0.5,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.25,0.75,1,0.75,0.25,0.666666666666667,0.75,0.5,0.75,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,0.75,1,1,0.75,0.5,0.5,0.75
"3",0.75,0.5,0,0.5,0.5,0.75,0.5,1,0.5,0.75,1,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.666666666666667,0.75,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.5,0.75,0.75,1,0.75,0.75,0.25,0.5,0.75
"4",0.75,0.75,0.5,0,0.5,0.75,0.75,1,0.75,1,1,0.25,0.75,0.5,1,1,0.75,0.25,1,0.833333333333333,1,0.75,1,0.75,1,0.75,1,0.5,1,1,1,0.75,0.75,1,0.75,0.75,0.75,0.25,1,0.75,0.75,0.5,0.75,1
"5",0.75,0.75,0.5,0.5,0,0.75,0.5,1,0.5,0.75,0.5,0.75,0.75,0.75,1,1,1,0.75,1,0.666666666666667,1,0.75,1,0.75,1,0.75,1,0.75,1,1,0.75,0.75,0.75,1,0.75,0.75,0.25,0.75,1,0.75,0.75,0.5,0.75,1
"6",0.25,0.5,0.75,0.75,0.75,0,0.75,0.75,0.75,1,1,0.75,0.75,0.75,0.75,1,1,0.75,0.75,0.666666666666667,1,0.25,0.5,0.75,1,0.75,0.75,0.75,1,1,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,0.5,1
"7",0.75,0.5,0.5,0.75,0.5,0.75,0,1,0.25,0.25,0.75,0.75,0.75,0.75,0.75,0.75,1,0.75,0.75,0.5,0.75,0.75,1,0.5,0.75,0.75,1,0.75,0.75,0.75,0.5,0.75,0.75,1,0.75,0.5,0.5,0.75,0.75,1,0.75,0.5,0.5,0.75
"8",0.5,1,1,1,1,0.75,1,0,0.75,1,1,0.75,1,1,1,0.5,1,1,0.75,0.666666666666667,0.5,0.75,0.75,1,1,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.5,1,1,1,1,0.75,1,0.5,1,1,0.75
"9",0.5,0.5,0.5,0.75,0.5,0.75,0.25,0.75,0,0.5,0.75,0.75,0.75,0.75,0.75,0.5,1,0.75,0.75,0.5,0.75,0.75,1,0.5,1,0.75,1,0.75,0.75,0.75,0.5,0.75,0.5,0.75,0.75,0.5,0.5,0.75,1,1,0.5,0.5,0.5,0.75
"10",1,0.75,0.75,1,0.75,1,0.25,1,0.5,0,0.5,1,0.75,0.75,0.5,0.75,0.75,0.75,0.75,0.5,0.75,1,0.75,0.75,0.5,1,0.75,1,0.5,0.75,0.5,1,0.75,0.75,0.5,0.75,0.75,1,0.75,0.75,1,0.75,0.75,0.5
