"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"1",0,2,3,3,3,1,3,2,2,4,4,3,3,3,3,3,4,3,3,4,4,1,2,3,4,3,4,3,4,4,3,3,2,1,3,3,3,3,4,4,2,3,3,3
"2",2,0,2,3,3,2,2,4,2,3,4,3,3,3,1,3,4,3,1,4,3,2,3,2,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,4,3,2,2,3
"3",3,2,0,2,2,3,2,4,2,3,4,3,3,3,3,3,4,3,3,4,3,3,4,2,4,3,4,3,3,3,3,3,3,4,3,2,3,3,4,3,3,1,2,3
"4",3,3,2,0,2,3,3,4,3,4,4,1,3,2,4,4,3,1,4,5,4,3,4,3,4,3,4,2,4,4,4,3,3,4,3,3,3,1,4,3,3,2,3,4
"5",3,3,2,2,0,3,2,4,2,3,2,3,3,3,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,4,3,3,3,4,3,3,1,3,4,3,3,2,3,4
"6",1,2,3,3,3,0,3,3,3,4,4,3,3,3,3,4,4,3,3,4,4,1,2,3,4,3,3,3,4,4,3,3,2,2,3,3,3,3,4,3,3,3,2,4
"7",3,2,2,3,2,3,0,4,1,1,3,3,3,3,3,3,4,3,3,3,3,3,4,2,3,3,4,3,3,3,2,3,3,4,3,2,2,3,3,4,3,2,2,3
"8",2,4,4,4,4,3,4,0,3,4,4,3,4,4,4,2,4,4,3,4,2,3,3,4,4,3,4,3,4,3,3,3,3,2,4,4,4,4,3,4,2,4,4,3
"9",2,2,2,3,2,3,1,3,0,2,3,3,3,3,3,2,4,3,3,3,3,3,4,2,4,3,4,3,3,3,2,3,2,3,3,2,2,3,4,4,2,2,2,3
"10",4,3,3,4,3,4,1,4,2,0,2,4,3,3,2,3,3,3,3,3,3,4,3,3,2,4,3,4,2,3,2,4,3,3,2,3,3,4,3,3,4,3,3,2
"11",4,4,4,4,2,4,3,4,3,2,0,4,3,2,3,4,3,3,4,4,4,4,3,4,3,4,2,4,3,4,3,3,3,3,3,3,1,3,3,3,4,4,4,3
"12",3,3,3,1,3,3,3,3,3,4,4,0,3,2,4,3,3,1,3,5,3,3,4,3,4,2,4,3,4,3,3,2,3,4,3,3,3,2,3,3,2,3,3,4
"13",3,3,3,3,3,3,3,4,3,3,3,3,0,2,3,4,3,2,4,5,4,3,2,3,3,1,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,3,3,3
"14",3,3,3,2,3,3,3,4,3,3,2,2,2,0,3,4,2,1,4,5,4,3,3,3,3,3,2,3,3,4,4,2,3,3,2,3,3,1,3,3,3,3,3,3
"15",3,1,3,4,4,3,3,4,3,2,3,4,3,3,0,3,3,3,1,4,3,3,2,3,3,4,3,4,2,3,3,4,3,2,3,3,4,4,3,3,4,3,3,2
"16",3,3,3,4,4,4,3,2,2,3,4,3,4,4,3,0,4,4,2,4,1,4,4,3,4,3,4,3,3,2,2,3,3,3,3,3,4,4,3,4,2,3,3,3
"17",4,4,4,3,4,4,4,4,4,3,3,3,3,2,3,4,0,2,4,5,4,4,3,4,2,4,3,4,3,4,4,4,3,3,3,4,4,3,2,3,4,4,4,3
"18",3,3,3,1,3,3,3,4,3,3,3,1,2,1,3,4,2,0,4,5,4,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,2,3,2,3,3,3,3
"19",3,1,3,4,4,3,3,3,3,3,4,3,4,4,1,2,4,4,0,4,2,3,3,3,4,3,4,4,3,2,2,3,4,3,4,3,4,4,3,4,3,3,3,3
"20",4,4,4,5,4,4,3,4,3,3,4,5,5,5,4,4,5,5,4,0,4,4,4,4,5,5,5,5,4,4,2,5,5,4,5,4,4,5,5,5,5,4,4,4
"21",4,3,3,4,4,4,3,2,3,3,4,3,4,4,3,1,4,4,2,4,0,4,4,3,4,3,4,3,3,2,2,3,4,4,3,3,4,4,3,4,3,3,3,2
"22",1,2,3,3,3,1,3,3,3,4,4,3,3,3,3,4,4,3,3,4,4,0,1,2,4,3,4,3,4,4,3,3,3,2,3,3,3,3,4,4,3,3,3,4
"23",2,3,4,4,4,2,4,3,4,3,3,4,2,3,2,4,3,3,3,4,4,1,0,3,3,3,3,4,3,4,3,4,3,1,3,4,4,4,3,3,4,4,4,3
"24",3,2,2,3,3,3,2,4,2,3,4,3,3,3,3,3,4,3,3,4,3,2,3,0,4,3,4,3,3,3,3,3,3,4,3,2,3,3,4,4,3,2,2,3
"25",4,4,4,4,4,4,3,4,4,2,3,4,3,3,3,4,2,3,4,5,4,4,3,4,0,4,2,4,3,4,4,4,3,3,2,4,4,4,1,2,4,4,4,3
"26",3,3,3,3,3,3,3,3,3,4,4,2,1,3,4,3,4,3,3,5,3,3,3,3,4,0,4,3,4,3,3,2,3,4,3,3,3,3,3,4,2,3,3,4
"27",4,4,4,4,4,3,4,4,4,3,2,4,3,2,3,4,3,3,4,5,4,4,3,4,2,4,0,4,3,4,4,3,2,3,3,3,3,3,3,1,4,4,3,3
"28",3,3,3,2,3,3,3,3,3,4,4,3,3,3,4,3,4,3,4,5,3,3,4,3,4,3,4,0,3,3,4,3,3,4,2,2,3,2,4,4,3,3,2,3
"29",4,3,3,4,4,4,3,4,3,2,3,4,3,3,2,3,3,3,3,4,3,4,3,3,3,4,3,3,0,1,3,4,3,3,2,2,4,4,3,3,4,3,2,2
"30",4,3,3,4,4,4,3,3,3,3,4,3,4,4,3,2,4,4,2,4,2,4,4,3,4,3,4,3,1,0,2,3,4,4,3,2,4,4,3,4,3,3,2,3
"31",3,3,3,4,3,3,2,3,2,2,3,3,4,4,3,2,4,4,2,2,2,3,3,3,4,3,4,4,3,2,0,3,4,3,4,3,3,4,3,4,3,3,3,3
"32",3,3,3,3,3,3,3,3,3,4,3,2,3,2,4,3,4,3,3,5,3,3,4,3,4,2,3,3,4,3,3,0,3,4,3,3,3,2,3,4,2,2,3,4
