,word,standardPH
1,kiyA,K I Y AH
2,gayA,G @ Y AH
3,waWA,TH @ TH AH
4,jAwA,JH AH TH AH
5,howA,H O_ TH AH
6,xiyA,DH I Y AH
7,rahA,R @ H AH
8,kisI,K I S EE
9,kahA,K @ H AH
10,rahe,R @ H A_
11,hone,H O_ N A_ 
12,jAwI,JH AH TH EE 
13,vAle,V AH L A_ 
14,jAne,JH AH N A_ 
15,gaye,G @ Y A_ 
16,kaBI,K @ B EE
17,muJe,M OO JH A_
18,jAwe,JH AH TH A_
19,gayI,G @ Y EE 
20,yaxi,Y @ T H Z I 
21,saBI,S @ B EE 
22,liyA,L I Y AH 
23,liye,L I Y A_ 
24,lagA,L @ G AH 
25,mere,M A_ R A_ 
26,vAlI,V AH L EE 
27,xene,DH A_ N A_
28,BARA,B AH S AH
29,badZe,B @ D A_ 
30,badZI,B @ D EE 
31,yahI,Y @ H EE 
32,pAnI,P AH N EE 
33,xeKA,DH A_ K AH 
34,kiye,K I Y A_
35,bAre,B AH R A_
36,banA,B @ N AH
37,honA,H O_ N AH 
38,jAnA,JH AH N AH 
39,merI,M A_ R EE
40,xewe,DH A_ TH A_
41,kAPI,K AH P EE
42,pawA,P @ TH AH
43,badZA,B @ DH AH
44,sake,S @ K A_
