kiyA  K I Y AH
gayA  G @ Y AH
waWA  TH @ TH AH
jAwA  JH AH TH AH
howA  H O_ TH AH
xiyA  DH I Y AH
rahA  R @ H AH
kisI  K I S EE
kahA  K @ H AH
rahe  R @ H A_
hone  H O_ N A_ 
jAwI  JH AH TH EE 
vAle  V AH L A_ 
jAne  JH AH N A_ 
gaye  G @ Y A_ 
kaBI  K @ B EE
muJe  M OO JH A_
jAwe  JH AH TH A_
gayI  G @ Y EE 
yaxi  Y @ T H Z I 
saBI  S @ B EE 
liyA  L I Y AH 
liye  L I Y A_ 
lagA  L @ G AH 
mere  M A_ R A_ 
vAlI  V AH L EE 
xene  DH A_ N A_
BARA  B AH S AH
badZe  B @ D A_ 
badZI  B @ D EE 
yahI  Y @ H EE 
pAnI  P AH N EE 
xeKA  DH A_ K AH 
kiye  K I Y A_
bAre  B AH R A_
banA  B @ N AH
honA  H O_ N AH 
jAnA  JH AH N AH 
merI  M A_ R EE
xewe  DH A_ TH A_
kAPI  K AH P EE
pawA  P @ TH AH
badZA  B @ DH AH
sake  S @ K A_
